TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
7120;8440;08;B;  10;130101; 2;s;01;  430;s;  578;s;    4;s;    4;s;  425;s;  415;s;   10;s;    0;s;    1;s;    1;s;    1;s;    2;s;    2;s;    0;s;  573;s;  556;s;   17;s;    0;s;    1;s;    2;s;    1;s;    1;s;    1;s;    0;s
7120;8440;08;B;  10;130101; 2;s;02;  654;-;  740;-;    2;-;    0;-;  652;-;  646;-;    6;-;    0;-;    0;-;    1;-;    0;-;    1;-;    1;-;    0;-;  740;-;  724;-;   16;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;130101; 2;s;03;  672;-;  886;-;    3;-;    2;-;  668;-;  661;-;    7;-;    0;-;    0;-;    2;-;    1;-;    0;-;    0;-;    1;-;  884;-;  869;-;   15;-;    0;-;    0;-;    1;-;    0;-;    1;-;    1;-;    0;-
7120;8440;08;B;  10;130101; 2;s;04;  431;-;  622;-;    4;-;    0;-;  427;-;  420;-;    7;-;    0;-;    0;-;    1;-;    1;-;    2;-;    2;-;    0;-;  622;-;  612;-;   10;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;130101; 2;s;05;  291;-;  484;-;    7;-;    2;-;  284;-;  272;-;   11;-;    1;-;    0;-;    1;-;    0;-;    6;-;    4;-;    0;-;  481;-;  472;-;    9;-;    0;-;    1;-;    1;-;    1;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;130101; 2;s;06;  232;-;  333;-;    2;-;    3;-;  230;-;  224;-;    6;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-;    0;-;  329;-;  323;-;    6;-;    0;-;    1;-;    2;-;    0;-;    1;-;    1;-;    0;-
7120;8440;08;B;  10;130101; 2;s;07;  170;-;  289;-;    1;-;    2;-;  169;-;  167;-;    2;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-;  287;-;  278;-;    9;-;    0;-;    0;-;    1;-;    0;-;    1;-;    1;-;    0;-
7120;8440;08;B;  10;130101; 2;s;08;  119;-;  176;-;    9;-;    0;-;  110;-;  105;-;    5;-;    0;-;    0;-;    1;-;    2;-;    6;-;    6;-;    0;-;  176;-;  168;-;    8;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;130101; 2;s;09;  101;-;  170;-;    2;-;    3;-;   99;-;   91;-;    8;-;    0;-;    0;-;    0;-;    1;-;    1;-;    1;-;    0;-;  167;-;  161;-;    5;-;    1;-;    0;-;    3;-;    0;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;130101; 2;s;10;  182;-;  235;-;    3;-;    6;-;  179;-;  171;-;    8;-;    0;-;    0;-;    2;-;    0;-;    1;-;    1;-;    0;-;  229;-;  214;-;   15;-;    0;-;    0;-;    1;-;    0;-;    5;-;    4;-;    0;-
7120;8440;08;B;  10;130101; 2;s;11;  303;-;  443;-;    4;-;    5;-;  298;-;  288;-;   10;-;    0;-;    1;-;    1;-;    0;-;    3;-;    3;-;    0;-;  436;-;  411;-;   25;-;    0;-;    2;-;    1;-;    1;-;    3;-;    3;-;    0;-
7120;8440;08;B;  10;130101; 2;s;12;  564;-;  737;-;    3;-;    8;-;  560;-;  536;-;   23;-;    1;-;    0;-;    1;-;    0;-;    2;-;    2;-;    1;-;  728;-;  702;-;   26;-;    0;-;    1;-;    1;-;    2;-;    5;-;    5;-;    0;-
7120;8440;08;B;  10;130101; 2;s;13;  838;-; 1220;-;    5;-;    9;-;  833;-;  818;-;   14;-;    1;-;    0;-;    1;-;    3;-;    1;-;    0;-;    0;-; 1206;-; 1174;-;   31;-;    1;-;    4;-;    3;-;    3;-;    3;-;    3;-;    1;-
7120;8440;08;B;  10;130101; 2;s;14; 1116;-; 1372;-;    7;-;    4;-; 1106;-; 1078;-;   27;-;    1;-;    3;-;    3;-;    3;-;    1;-;    1;-;    0;-; 1365;-; 1329;-;   36;-;    0;-;    3;-;    1;-;    1;-;    2;-;    2;-;    0;-
7120;8440;08;B;  10;130101; 2;s;15; 1277;-; 1570;-;    7;-;    7;-; 1269;-; 1231;-;   36;-;    2;-;    0;-;    3;-;    4;-;    0;-;    0;-;    1;-; 1562;-; 1529;-;   32;-;    1;-;    1;-;    4;-;    1;-;    2;-;    2;-;    0;-
7120;8440;08;B;  10;130101; 2;s;16; 1659;-; 1494;-;    5;-;   10;-; 1653;-; 1612;-;   41;-;    0;-;    1;-;    1;-;    2;-;    2;-;    2;-;    0;-; 1481;-; 1438;-;   41;-;    2;-;    2;-;    4;-;    3;-;    3;-;    1;-;    1;-
7120;8440;08;B;  10;130101; 2;s;17; 1531;-; 1392;-;    5;-;    4;-; 1525;-; 1500;-;   25;-;    0;-;    0;-;    0;-;    4;-;    1;-;    1;-;    1;-; 1385;-; 1340;-;   42;-;    3;-;    1;-;    1;-;    0;-;    3;-;    3;-;    2;-
7120;8440;08;B;  10;130101; 2;s;18; 1561;-; 1245;-;   10;-;    6;-; 1549;-; 1520;-;   28;-;    1;-;    0;-;    3;-;    5;-;    2;-;    1;-;    2;-; 1237;-; 1206;-;   30;-;    1;-;    1;-;    2;-;    0;-;    4;-;    4;-;    1;-
7120;8440;08;B;  10;130101; 2;s;19; 1467;-; 1198;-;   11;-;   10;-; 1454;-; 1415;-;   39;-;    0;-;    1;-;    3;-;    7;-;    1;-;    1;-;    1;-; 1185;-; 1151;-;   34;-;    0;-;    1;-;    2;-;    1;-;    7;-;    6;-;    2;-
7120;8440;08;B;  10;130101; 2;s;20; 1294;-;  888;-;   13;-;   10;-; 1281;-; 1250;-;   31;-;    0;-;    0;-;    1;-;    5;-;    7;-;    6;-;    0;-;  877;-;  852;-;   25;-;    0;-;    0;-;    2;-;    2;-;    6;-;    4;-;    1;-
7120;8440;08;B;  10;130101; 2;s;21;  883;-;  635;-;    8;-;    4;-;  873;-;  857;-;   16;-;    0;-;    1;-;    0;-;    3;-;    5;-;    3;-;    1;-;  631;-;  609;-;   21;-;    1;-;    0;-;    1;-;    1;-;    2;-;    2;-;    0;-
7120;8440;08;B;  10;130101; 2;s;22;  673;-;  479;-;    8;-;   11;-;  664;-;  649;-;   14;-;    1;-;    1;-;    0;-;    3;-;    5;-;    5;-;    0;-;  467;-;  444;-;   21;-;    2;-;    1;-;    1;-;    5;-;    5;-;    4;-;    0;-
7120;8440;08;B;  10;130101; 2;s;23;  513;-;  449;-;   12;-;   20;-;  501;-;  487;-;   14;-;    0;-;    0;-;    0;-;    3;-;    9;-;    7;-;    0;-;  428;-;  420;-;    8;-;    0;-;    1;-;    0;-;    5;-;   15;-;    7;-;    0;-
7120;8440;08;B;  10;130101; 2;s;24;  301;-;  333;-;   19;-;   14;-;  282;-;  275;-;    7;-;    0;-;    0;-;    0;-;    8;-;   11;-;   11;-;    0;-;  319;-;  306;-;   12;-;    1;-;    0;-;    0;-;    5;-;    9;-;    5;-;    0;-
7120;8440;08;B;  10;130102; 3;u;01;  197;-;  177;-;   21;-;    7;-;  176;-;  171;-;    5;-;    0;-;    0;-;    1;-;    5;-;   15;-;    9;-;    0;-;  170;-;  161;-;    9;-;    0;-;    0;-;    0;-;    2;-;    5;-;    3;-;    0;-
7120;8440;08;B;  10;130102; 3;u;02;  120;-;  108;-;   31;-;   12;-;   89;-;   85;-;    4;-;    0;-;    0;-;    0;-;   15;-;   16;-;    9;-;    0;-;   96;-;   92;-;    4;-;    0;-;    0;-;    0;-;    3;-;    9;-;    9;-;    0;-
7120;8440;08;B;  10;130102; 3;u;03;  110;-;   98;-;   43;-;   31;-;   67;-;   59;-;    8;-;    0;-;    0;-;    0;-;   20;-;   23;-;   15;-;    0;-;   67;-;   64;-;    3;-;    0;-;    0;-;    0;-;    9;-;   22;-;   17;-;    0;-
7120;8440;08;B;  10;130102; 3;u;04;   94;-;  137;-;   36;-;   33;-;   58;-;   53;-;    5;-;    0;-;    0;-;    0;-;   12;-;   24;-;   17;-;    0;-;  104;-;   94;-;   10;-;    0;-;    0;-;    1;-;   15;-;   17;-;   12;-;    0;-
7120;8440;08;B;  10;130102; 3;u;05;  201;-;  212;-;   51;-;   60;-;  150;-;  135;-;   15;-;    0;-;    0;-;    2;-;   27;-;   22;-;   16;-;    0;-;  152;-;  118;-;   34;-;    0;-;    0;-;    0;-;   31;-;   29;-;   23;-;    0;-
7120;8440;08;B;  10;130102; 3;u;06;  886;-;  518;-;  116;-;   82;-;  768;-;  731;-;   35;-;    2;-;    1;-;    2;-;   47;-;   67;-;   48;-;    1;-;  434;-;  376;-;   57;-;    1;-;    2;-;    2;-;   24;-;   56;-;   33;-;    0;-
