TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
7120;8440;08;B;  10;160101; 5;s;01;  219;-;  349;-;    0;-;    1;-;  219;-;  215;-;    4;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  348;-;  341;-;    7;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;160101; 5;s;02;  672;-;  782;-;    4;-;    0;-;  668;-;  655;-;   13;-;    0;-;    0;-;    2;-;    0;-;    2;-;    2;-;    0;-;  782;-;  765;-;   17;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;160101; 5;s;03;  622;-;  796;-;    3;-;    3;-;  619;-;  605;-;   14;-;    0;-;    0;-;    2;-;    0;-;    1;-;    1;-;    0;-;  793;-;  781;-;   12;-;    0;-;    0;-;    3;-;    0;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;160101; 5;s;04;  461;-;  563;-;    2;-;    1;-;  459;-;  446;-;   13;-;    0;-;    0;-;    2;-;    0;-;    0;-;    0;-;    0;-;  562;-;  547;-;   15;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-
7120;8440;08;B;  10;160101; 5;s;05;  283;-;  454;-;    6;-;    2;-;  277;-;  268;-;    9;-;    0;-;    0;-;    1;-;    1;-;    4;-;    4;-;    0;-;  452;-;  442;-;   10;-;    0;-;    0;-;    1;-;    1;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;160101; 5;s;06;  240;-;  322;-;    6;-;    2;-;  234;-;  229;-;    5;-;    0;-;    0;-;    0;-;    0;-;    6;-;    5;-;    0;-;  319;-;  310;-;    9;-;    0;-;    0;-;    0;-;    2;-;    0;-;    0;-;    1;-
7120;8440;08;B;  10;160101; 5;s;07;  177;-;  240;-;    6;-;    3;-;  171;-;  164;-;    7;-;    0;-;    0;-;    1;-;    2;-;    3;-;    3;-;    0;-;  236;-;  232;-;    4;-;    0;-;    0;-;    0;-;    2;-;    1;-;    1;-;    1;-
7120;8440;08;B;  10;160101; 5;s;08;  128;-;  150;-;    6;-;    6;-;  122;-;  118;-;    3;-;    1;-;    0;-;    1;-;    4;-;    1;-;    1;-;    0;-;  143;-;  138;-;    5;-;    0;-;    0;-;    1;-;    1;-;    4;-;    4;-;    1;-
7120;8440;08;B;  10;160101; 5;s;09;  136;-;  152;-;    6;-;    6;-;  130;-;  123;-;    7;-;    0;-;    0;-;    1;-;    1;-;    4;-;    4;-;    0;-;  145;-;  141;-;    4;-;    0;-;    1;-;    4;-;    1;-;    1;-;    1;-;    0;-
7120;8440;08;B;  10;160101; 5;s;10;  194;-;  214;-;    2;-;    4;-;  192;-;  181;-;   11;-;    0;-;    0;-;    2;-;    0;-;    0;-;    0;-;    0;-;  209;-;  197;-;   12;-;    0;-;    1;-;    0;-;    1;-;    3;-;    3;-;    0;-
