TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
7120;8440;08;B;  10;030101; 3;s;01;  203;-;  290;-;    2;-;    1;-;  201;-;  193;-;    8;-;    0;-;    0;-;    0;-;    1;-;    1;-;    1;-;    0;-;  289;-;  281;-;    8;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-
7120;8440;08;B;  10;030101; 3;s;02;  516;-;  578;-;    2;-;    0;-;  514;-;  491;-;   23;-;    0;-;    0;-;    0;-;    2;-;    0;-;    0;-;    0;-;  578;-;  555;-;   23;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;030101; 3;s;03;  538;-;  649;-;    1;-;    0;-;  537;-;  508;-;   29;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;  648;-;  627;-;   21;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    1;-
7120;8440;08;B;  10;030101; 3;s;04;  415;-;  526;-;    0;-;    0;-;  413;-;  391;-;   22;-;    0;-;    2;-;    0;-;    0;-;    0;-;    0;-;    0;-;  525;-;  514;-;   11;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    1;-
7120;8440;08;B;  10;030101; 3;s;05;  294;-;  444;-;    2;-;    3;-;  291;-;  273;-;   17;-;    1;-;    0;-;    1;-;    1;-;    0;-;    0;-;    1;-;  439;-;  431;-;    8;-;    0;-;    2;-;    3;-;    0;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;030101; 3;s;06;  251;-;  366;-;    1;-;    2;-;  250;-;  235;-;   14;-;    1;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-;  364;-;  356;-;    8;-;    0;-;    0;-;    1;-;    1;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;030101; 3;s;07;  149;-;  292;-;    2;-;    2;-;  147;-;  133;-;   14;-;    0;-;    0;-;    0;-;    1;-;    1;-;    1;-;    0;-;  289;-;  281;-;    7;-;    1;-;    1;-;    1;-;    1;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;030101; 3;s;08;   99;-;  178;-;    2;-;    4;-;   97;-;   91;-;    6;-;    0;-;    0;-;    1;-;    0;-;    1;-;    1;-;    0;-;  174;-;  165;-;    9;-;    0;-;    0;-;    4;-;    0;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;030101; 3;s;09;  126;-;  145;-;    2;-;    9;-;  124;-;  116;-;    8;-;    0;-;    0;-;    2;-;    0;-;    0;-;    0;-;    0;-;  136;-;  127;-;    9;-;    0;-;    0;-;    2;-;    1;-;    6;-;    5;-;    0;-
7120;8440;08;B;  10;030101; 3;s;10;  151;-;  189;-;    1;-;    7;-;  149;-;  142;-;    7;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    1;-;  182;-;  172;-;   10;-;    0;-;    0;-;    1;-;    2;-;    4;-;    4;-;    0;-
7120;8440;08;B;  10;030101; 3;s;11;  243;-;  346;-;    8;-;   11;-;  234;-;  225;-;    9;-;    0;-;    0;-;    3;-;    2;-;    3;-;    3;-;    1;-;  335;-;  315;-;   20;-;    0;-;    0;-;    3;-;    3;-;    5;-;    5;-;    0;-
7120;8440;08;B;  10;030101; 3;s;12;  460;-;  615;-;    9;-;   10;-;  450;-;  415;-;   34;-;    1;-;    1;-;    3;-;    3;-;    3;-;    3;-;    0;-;  603;-;  575;-;   28;-;    0;-;    1;-;    1;-;    4;-;    5;-;    5;-;    1;-
7120;8440;08;B;  10;030101; 3;s;13;  706;-;  832;-;    9;-;    4;-;  696;-;  660;-;   34;-;    2;-;    0;-;    4;-;    4;-;    1;-;    1;-;    1;-;  827;-;  792;-;   33;-;    2;-;    1;-;    2;-;    1;-;    1;-;    1;-;    0;-
7120;8440;08;B;  10;030101; 3;s;14;  904;-; 1015;-;    2;-;   12;-;  901;-;  850;-;   50;-;    1;-;    0;-;    1;-;    1;-;    0;-;    0;-;    1;-; 1000;-;  946;-;   52;-;    2;-;    0;-;    6;-;    5;-;    1;-;    1;-;    3;-
7120;8440;08;B;  10;030101; 3;s;15; 1144;-; 1172;-;    7;-;    3;-; 1130;-; 1080;-;   49;-;    1;-;    0;-;    0;-;    4;-;    3;-;    1;-;    7;-; 1162;-; 1126;-;   34;-;    2;-;    2;-;    0;-;    2;-;    1;-;    1;-;    5;-
7120;8440;08;B;  10;030101; 3;s;16; 1363;-; 1164;-;    8;-;    4;-; 1348;-; 1285;-;   58;-;    5;-;    2;-;    3;-;    4;-;    1;-;    1;-;    5;-; 1155;-; 1109;-;   45;-;    1;-;    3;-;    1;-;    3;-;    0;-;    0;-;    2;-
7120;8440;08;B;  10;030101; 3;s;17; 1424;-; 1360;-;    8;-;    5;-; 1406;-; 1344;-;   62;-;    0;-;    5;-;    2;-;    4;-;    2;-;    2;-;    5;-; 1351;-; 1293;-;   55;-;    3;-;    0;-;    1;-;    3;-;    1;-;    1;-;    4;-
7120;8440;08;B;  10;030101; 3;s;18; 1441;-; 1183;-;    7;-;    8;-; 1424;-; 1363;-;   58;-;    3;-;    3;-;    5;-;    0;-;    2;-;    2;-;    7;-; 1171;-; 1120;-;   50;-;    1;-;    2;-;    1;-;    6;-;    1;-;    1;-;    2;-
7120;8440;08;B;  10;030101; 3;s;19; 1256;-; 1066;-;   18;-;    6;-; 1235;-; 1184;-;   51;-;    0;-;    0;-;    5;-;    7;-;    6;-;    5;-;    3;-; 1057;-; 1016;-;   39;-;    2;-;    2;-;    1;-;    2;-;    3;-;    3;-;    1;-
7120;8440;08;B;  10;030101; 3;s;20; 1091;-;  830;-;   12;-;   12;-; 1075;-; 1034;-;   41;-;    0;-;    3;-;    2;-;    7;-;    3;-;    3;-;    1;-;  817;-;  783;-;   34;-;    0;-;    1;-;    3;-;    4;-;    5;-;    5;-;    0;-
7120;8440;08;B;  10;030101; 3;s;21;  869;-;  646;-;   11;-;    6;-;  855;-;  816;-;   38;-;    1;-;    2;-;    0;-;    4;-;    7;-;    6;-;    1;-;  639;-;  609;-;   28;-;    2;-;    1;-;    0;-;    2;-;    4;-;    4;-;    0;-
7120;8440;08;B;  10;030101; 3;s;22;  654;-;  500;-;   13;-;    6;-;  635;-;  608;-;   27;-;    0;-;    1;-;    1;-;    5;-;    7;-;    4;-;    5;-;  491;-;  466;-;   25;-;    0;-;    2;-;    4;-;    2;-;    0;-;    0;-;    1;-
7120;8440;08;B;  10;030101; 3;s;23;  494;-;  473;-;   12;-;   14;-;  479;-;  460;-;   19;-;    0;-;    1;-;    1;-;    1;-;   10;-;    9;-;    2;-;  459;-;  441;-;   17;-;    1;-;    0;-;    1;-;    4;-;    9;-;    6;-;    0;-
7120;8440;08;B;  10;030101; 3;s;24;  338;-;  329;-;   14;-;   22;-;  324;-;  308;-;   16;-;    0;-;    0;-;    0;-;    4;-;   10;-;    8;-;    0;-;  306;-;  284;-;   22;-;    0;-;    0;-;    1;-;    9;-;   12;-;   11;-;    1;-
7120;8440;08;B;  10;030102; 4;u;01;  242;-;  217;-;   19;-;    6;-;  221;-;  209;-;   12;-;    0;-;    0;-;    0;-;    5;-;   14;-;   12;-;    2;-;  210;-;  193;-;   17;-;    0;-;    0;-;    0;-;    0;-;    6;-;    3;-;    1;-
7120;8440;08;B;  10;030102; 4;u;02;  170;-;  136;-;   34;-;   16;-;  135;-;  126;-;    9;-;    0;-;    0;-;    1;-;    7;-;   26;-;   15;-;    1;-;  120;-;  116;-;    4;-;    0;-;    0;-;    0;-;    9;-;    7;-;    6;-;    0;-
7120;8440;08;B;  10;030102; 4;u;03;  146;-;  116;-;   47;-;   13;-;   98;-;   84;-;   14;-;    0;-;    0;-;    1;-;   13;-;   33;-;   21;-;    1;-;  102;-;   96;-;    6;-;    0;-;    1;-;    0;-;    4;-;    9;-;    6;-;    0;-
7120;8440;08;B;  10;030102; 4;u;04;  109;-;  122;-;   46;-;   39;-;   63;-;   56;-;    7;-;    0;-;    0;-;    0;-;   26;-;   20;-;   12;-;    0;-;   83;-;   82;-;    1;-;    0;-;    0;-;    3;-;   13;-;   23;-;   12;-;    0;-
7120;8440;08;B;  10;030102; 4;u;05;  170;-;  151;-;   59;-;   39;-;  111;-;   96;-;   15;-;    0;-;    0;-;    1;-;   34;-;   24;-;   16;-;    0;-;  112;-;   89;-;   23;-;    0;-;    0;-;    3;-;   23;-;   13;-;   10;-;    0;-
7120;8440;08;B;  10;030102; 4;u;06;  612;-;  346;-;   92;-;   67;-;  518;-;  470;-;   46;-;    2;-;    0;-;    5;-;   41;-;   46;-;   22;-;    2;-;  276;-;  243;-;   32;-;    1;-;    2;-;    3;-;   35;-;   29;-;   16;-;    1;-
7120;8440;08;B;  10;030102; 4;u;07; 1167;-;  645;-;  102;-;   89;-; 1054;-;  986;-;   68;-;    0;-;    3;-;    6;-;   49;-;   47;-;   28;-;    8;-;  552;-;  496;-;   53;-;    3;-;    2;-;   10;-;   45;-;   34;-;   20;-;    2;-
7120;8440;08;B;  10;030102; 4;u;08; 1630;-; 1101;-;  111;-;  138;-; 1511;-; 1403;-;  108;-;    0;-;    3;-;    8;-;   51;-;   52;-;   32;-;    5;-;  959;-;  893;-;   62;-;    4;-;    3;-;   11;-;   69;-;   58;-;   32;-;    1;-
7120;8440;08;B;  10;030102; 4;u;09; 1519;-; 1055;-;  118;-;  116;-; 1386;-; 1283;-;   99;-;    4;-;    7;-;    5;-;   66;-;   47;-;   26;-;    8;-;  930;-;  857;-;   71;-;    2;-;    7;-;    9;-;   59;-;   48;-;   28;-;    2;-
7120;8440;08;B;  10;030102; 4;u;10; 1455;-; 1154;-;  137;-;  144;-; 1310;-; 1212;-;   97;-;    1;-;    6;-;    6;-;   71;-;   60;-;   37;-;    2;-; 1008;-;  915;-;   93;-;    0;-;    1;-;    4;-;   68;-;   72;-;   38;-;    1;-
7120;8440;08;B;  10;030102; 4;u;11; 1644;-; 1329;-;  141;-;  126;-; 1492;-; 1383;-;  108;-;    1;-;    7;-;    3;-;   75;-;   63;-;   42;-;    4;-; 1199;-; 1102;-;   96;-;    1;-;    4;-;    4;-;   68;-;   54;-;   29;-;    0;-
7120;8440;08;B;  10;030102; 4;u;12; 1622;-; 1588;-;  117;-;  132;-; 1495;-; 1371;-;  122;-;    2;-;    5;-;    2;-;   53;-;   62;-;   45;-;    5;-; 1451;-; 1318;-;  133;-;    0;-;    1;-;    1;-;   74;-;   57;-;   30;-;    4;-
