TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
7120;8440;08;B;  10;170101; 7;s;01;  212;-;  400;-;    0;-;    1;-;  212;-;  203;-;    9;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  399;-;  389;-;   10;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;170101; 7;s;02;  734;-;  774;-;    2;-;    1;-;  731;-;  711;-;   20;-;    0;-;    0;-;    1;-;    0;-;    1;-;    1;-;    1;-;  772;-;  757;-;   15;-;    0;-;    1;-;    1;-;    0;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;170101; 7;s;03;  656;-;  779;-;    1;-;    3;-;  655;-;  641;-;   14;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;  776;-;  759;-;   17;-;    0;-;    0;-;    1;-;    0;-;    2;-;    2;-;    0;-
7120;8440;08;B;  10;170101; 7;s;04;  415;-;  579;-;    2;-;    0;-;  413;-;  404;-;    9;-;    0;-;    0;-;    1;-;    0;-;    1;-;    1;-;    0;-;  579;-;  550;-;   29;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;170101; 7;s;05;  282;-;  441;-;    6;-;    8;-;  275;-;  268;-;    7;-;    0;-;    1;-;    0;-;    4;-;    2;-;    2;-;    0;-;  433;-;  416;-;   17;-;    0;-;    0;-;    3;-;    4;-;    1;-;    1;-;    0;-
7120;8440;08;B;  10;170101; 7;s;06;  216;-;  297;-;    7;-;    5;-;  208;-;  203;-;    5;-;    0;-;    1;-;    1;-;    1;-;    5;-;    5;-;    0;-;  290;-;  279;-;   11;-;    0;-;    0;-;    1;-;    2;-;    2;-;    1;-;    2;-
7120;8440;08;B;  10;170101; 7;s;07;  164;-;  222;-;    1;-;    4;-;  163;-;  160;-;    3;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-;  217;-;  209;-;    8;-;    0;-;    1;-;    0;-;    0;-;    4;-;    3;-;    0;-
7120;8440;08;B;  10;170101; 7;s;08;  121;-;  145;-;    3;-;    4;-;  118;-;  114;-;    4;-;    0;-;    0;-;    1;-;    1;-;    1;-;    1;-;    0;-;  141;-;  136;-;    5;-;    0;-;    0;-;    0;-;    1;-;    3;-;    3;-;    0;-
7120;8440;08;B;  10;170101; 7;s;09;  103;-;  176;-;    6;-;    5;-;   97;-;   88;-;    9;-;    0;-;    0;-;    1;-;    0;-;    5;-;    5;-;    0;-;  171;-;  163;-;    8;-;    0;-;    0;-;    1;-;    0;-;    4;-;    4;-;    0;-
7120;8440;08;B;  10;170101; 7;s;10;  224;-;  274;-;    5;-;    8;-;  219;-;  208;-;   11;-;    0;-;    0;-;    2;-;    2;-;    1;-;    1;-;    0;-;  266;-;  256;-;   10;-;    0;-;    0;-;    2;-;    0;-;    6;-;    5;-;    0;-
