TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
7120;8440;08;B;  10;040101; 4;s;01;  187;-;  266;-;    2;-;    1;-;  184;-;  173;-;   10;-;    1;-;    1;-;    1;-;    1;-;    0;-;    0;-;    0;-;  265;-;  254;-;   11;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-
7120;8440;08;B;  10;040101; 4;s;02;  503;-;  585;-;    1;-;    1;-;  501;-;  478;-;   22;-;    1;-;    1;-;    0;-;    1;-;    0;-;    0;-;    0;-;  584;-;  559;-;   25;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-
7120;8440;08;B;  10;040101; 4;s;03;  542;-;  698;-;    0;-;    1;-;  542;-;  521;-;   21;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  695;-;  677;-;   18;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;    2;-
7120;8440;08;B;  10;040101; 4;s;04;  383;-;  517;-;    2;-;    3;-;  379;-;  358;-;   21;-;    0;-;    2;-;    1;-;    0;-;    1;-;    1;-;    0;-;  514;-;  494;-;   20;-;    0;-;    0;-;    1;-;    2;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;040101; 4;s;05;  292;-;  396;-;    1;-;    3;-;  290;-;  278;-;   11;-;    1;-;    1;-;    0;-;    0;-;    1;-;    1;-;    0;-;  392;-;  377;-;   15;-;    0;-;    1;-;    1;-;    2;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;040101; 4;s;06;  264;-;  365;-;    3;-;    2;-;  260;-;  251;-;    9;-;    0;-;    0;-;    0;-;    1;-;    2;-;    2;-;    1;-;  360;-;  347;-;   13;-;    0;-;    1;-;    1;-;    1;-;    0;-;    0;-;    2;-
7120;8440;08;B;  10;040101; 4;s;07;  159;-;  270;-;    1;-;    2;-;  158;-;  150;-;    8;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-;  268;-;  262;-;    6;-;    0;-;    0;-;    1;-;    1;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;040101; 4;s;08;  126;-;  204;-;    1;-;    2;-;  124;-;  119;-;    5;-;    0;-;    0;-;    0;-;    0;-;    1;-;    0;-;    1;-;  202;-;  197;-;    5;-;    0;-;    0;-;    1;-;    0;-;    1;-;    1;-;    0;-
7120;8440;08;B;  10;040101; 4;s;09;  118;-;  167;-;    4;-;   11;-;  113;-;  103;-;   10;-;    0;-;    0;-;    1;-;    2;-;    1;-;    1;-;    1;-;  155;-;  146;-;    9;-;    0;-;    1;-;    4;-;    2;-;    5;-;    5;-;    0;-
7120;8440;08;B;  10;040101; 4;s;10;  155;-;  181;-;    4;-;    9;-;  151;-;  144;-;    7;-;    0;-;    0;-;    2;-;    0;-;    2;-;    2;-;    0;-;  171;-;  162;-;    9;-;    0;-;    1;-;    2;-;    1;-;    6;-;    5;-;    0;-
7120;8440;08;B;  10;040101; 4;s;11;  209;-;  341;-;    2;-;    9;-;  207;-;  190;-;   17;-;    0;-;    0;-;    2;-;    0;-;    0;-;    0;-;    0;-;  332;-;  319;-;   13;-;    0;-;    0;-;    1;-;    2;-;    6;-;    5;-;    0;-
7120;8440;08;B;  10;040101; 4;s;12;  471;-;  657;-;   15;-;    9;-;  456;-;  443;-;   13;-;    0;-;    0;-;    9;-;    4;-;    2;-;    2;-;    0;-;  643;-;  609;-;   34;-;    0;-;    3;-;    4;-;    3;-;    2;-;    2;-;    2;-
7120;8440;08;B;  10;040101; 4;s;13;  633;-;  761;-;   10;-;    7;-;  623;-;  594;-;   28;-;    1;-;    0;-;    2;-;    4;-;    4;-;    4;-;    0;-;  753;-;  719;-;   34;-;    0;-;    0;-;    3;-;    2;-;    2;-;    2;-;    1;-
7120;8440;08;B;  10;040101; 4;s;14;  862;-;  974;-;    7;-;    2;-;  850;-;  794;-;   54;-;    2;-;    1;-;    1;-;    3;-;    3;-;    3;-;    4;-;  969;-;  926;-;   41;-;    2;-;    0;-;    1;-;    0;-;    1;-;    1;-;    3;-
7120;8440;08;B;  10;040101; 4;s;15; 1024;-; 1106;-;    4;-;   11;-; 1014;-;  964;-;   49;-;    1;-;    1;-;    2;-;    0;-;    2;-;    2;-;    5;-; 1091;-; 1059;-;   32;-;    0;-;    2;-;    3;-;    3;-;    5;-;    5;-;    2;-
7120;8440;08;B;  10;040101; 4;s;16; 1426;-; 1118;-;    8;-;   10;-; 1408;-; 1345;-;   62;-;    1;-;    2;-;    1;-;    4;-;    3;-;    2;-;    8;-; 1105;-; 1071;-;   34;-;    0;-;    1;-;    0;-;    7;-;    3;-;    3;-;    2;-
