TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
7120;8440;08;B;  10;140101; 3;s;01;  423;s;  576;s;    4;s;    4;s;  419;s;  410;s;    9;s;    0;s;    0;s;    0;s;    2;s;    2;s;    2;s;    0;s;  571;s;  558;s;   13;s;    0;s;    1;s;    1;s;    1;s;    2;s;    1;s;    0;s
7120;8440;08;B;  10;140101; 3;s;02;  678;-;  733;-;    3;-;    2;-;  675;-;  665;-;    9;-;    1;-;    0;-;    1;-;    0;-;    2;-;    2;-;    0;-;  731;-;  712;-;   19;-;    0;-;    0;-;    1;-;    1;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;140101; 3;s;03;  701;-;  804;-;    5;-;    1;-;  696;-;  681;-;   15;-;    0;-;    0;-;    2;-;    0;-;    3;-;    3;-;    0;-;  803;-;  794;-;    9;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;140101; 3;s;04;  453;-;  689;-;    1;-;    0;-;  452;-;  446;-;    5;-;    1;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;  689;-;  677;-;   12;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;140101; 3;s;05;  286;-;  507;-;    1;-;    1;-;  285;-;  277;-;    7;-;    1;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;  506;-;  489;-;   17;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;140101; 3;s;06;  240;-;  377;-;    2;-;    1;-;  238;-;  228;-;   10;-;    0;-;    0;-;    0;-;    0;-;    2;-;    2;-;    0;-;  376;-;  367;-;    9;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-
7120;8440;08;B;  10;140101; 3;s;07;  164;-;  265;-;    6;-;    3;-;  158;-;  158;-;    0;-;    0;-;    0;-;    0;-;    2;-;    4;-;    4;-;    0;-;  262;-;  257;-;    5;-;    0;-;    0;-;    0;-;    2;-;    1;-;    1;-;    0;-
7120;8440;08;B;  10;140101; 3;s;08;  114;-;  167;-;    6;-;    4;-;  108;-;  101;-;    6;-;    1;-;    0;-;    2;-;    1;-;    3;-;    3;-;    0;-;  163;-;  156;-;    6;-;    1;-;    0;-;    2;-;    0;-;    2;-;    2;-;    0;-
7120;8440;08;B;  10;140101; 3;s;09;  119;-;  158;-;    5;-;    7;-;  114;-;  109;-;    5;-;    0;-;    0;-;    1;-;    0;-;    4;-;    3;-;    0;-;  150;-;  141;-;    9;-;    0;-;    1;-;    2;-;    0;-;    5;-;    5;-;    0;-
7120;8440;08;B;  10;140101; 3;s;10;  246;-;  240;-;   10;-;    6;-;  235;-;  226;-;    9;-;    0;-;    1;-;    4;-;    2;-;    4;-;    4;-;    0;-;  233;-;  226;-;    7;-;    0;-;    0;-;    1;-;    1;-;    4;-;    2;-;    1;-
