TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
7120;8440;08;B;  10;090101; 4;s;01;  335;s;  441;s;    3;s;    3;s;  332;s;  315;s;   17;s;    0;s;    0;s;    1;s;    2;s;    0;s;    0;s;    0;s;  438;s;  417;s;   20;s;    1;s;    0;s;    1;s;    1;s;    1;s;    1;s;    0;s
7120;8440;08;B;  10;090101; 4;s;02;  245;s;  360;s;    3;s;    2;s;  241;s;  230;s;   11;s;    0;s;    0;s;    0;s;    2;s;    1;s;    1;s;    1;s;  358;s;  345;s;   12;s;    1;s;    0;s;    0;s;    1;s;    1;s;    1;s;    0;s
7120;8440;08;B;  10;090101; 4;s;03;  167;s;  280;s;    2;s;    2;s;  164;s;  154;s;   10;s;    0;s;    0;s;    0;s;    1;s;    1;s;    1;s;    1;s;  278;s;  268;s;   10;s;    0;s;    0;s;    0;s;    1;s;    1;s;    1;s;    0;s
7120;8440;08;B;  10;090101; 4;s;04;  115;s;  201;s;    2;s;    1;s;  113;s;  104;s;    9;s;    0;s;    0;s;    0;s;    1;s;    1;s;    1;s;    0;s;  200;s;  194;s;    6;s;    0;s;    0;s;    0;s;    0;s;    1;s;    1;s;    0;s
7120;8440;08;B;  10;090101; 4;s;05;   85;s;  157;s;    2;s;    2;s;   83;s;   79;s;    4;s;    0;s;    0;s;    0;s;    1;s;    1;s;    1;s;    0;s;  155;s;  151;s;    4;s;    0;s;    0;s;    1;s;    1;s;    0;s;    0;s;    0;s
7120;8440;08;B;  10;090101; 4;s;06;   92;s;  131;s;    2;s;    3;s;   90;s;   85;s;    5;s;    0;s;    0;s;    0;s;    1;s;    1;s;    1;s;    0;s;  127;s;  122;s;    5;s;    0;s;    1;s;    0;s;    2;s;    1;s;    1;s;    0;s
7120;8440;08;B;  10;090101; 4;s;07;   77;s;  138;s;    3;s;    3;s;   74;s;   69;s;    5;s;    0;s;    0;s;    0;s;    2;s;    1;s;    1;s;    0;s;  135;s;  124;s;   11;s;    0;s;    0;s;    0;s;    2;s;    1;s;    1;s;    0;s
7120;8440;08;B;  10;090101; 4;s;08;  102;s;  180;s;    4;s;    5;s;   97;s;   90;s;    7;s;    0;s;    1;s;    1;s;    2;s;    1;s;    1;s;    0;s;  174;s;  162;s;   12;s;    0;s;    1;s;    1;s;    3;s;    1;s;    1;s;    0;s
7120;8440;08;B;  10;090101; 4;s;09;  279;s;  316;s;    5;s;    7;s;  273;s;  253;s;   20;s;    0;s;    1;s;    1;s;    2;s;    2;s;    2;s;    0;s;  307;s;  285;s;   22;s;    0;s;    2;s;    2;s;    2;s;    3;s;    3;s;    0;s
7120;8440;08;B;  10;090101; 4;s;10;  471;s;  480;s;    6;s;    7;s;  463;s;  426;s;   37;s;    0;s;    2;s;    1;s;    3;s;    2;s;    2;s;    0;s;  470;s;  438;s;   31;s;    1;s;    2;s;    1;s;    3;s;    3;s;    3;s;    1;s
7120;8440;08;B;  10;090101; 4;s;11;  572;s;  671;s;    6;s;    9;s;  563;s;  530;s;   33;s;    0;s;    1;s;    1;s;    3;s;    2;s;    2;s;    2;s;  659;s;  619;s;   39;s;    1;s;    2;s;    2;s;    5;s;    2;s;    2;s;    1;s
7120;8440;08;B;  10;090101; 4;s;12;  672;s;  841;s;    7;s;    8;s;  663;s;  623;s;   39;s;    1;s;    2;s;    1;s;    4;s;    2;s;    1;s;    0;s;  827;s;  781;s;   45;s;    1;s;    3;s;    1;s;    5;s;    2;s;    2;s;    3;s
7120;8440;08;B;  10;090101; 4;s;13;  715;s;  845;s;    7;s;   10;s;  704;s;  657;s;   46;s;    1;s;    2;s;    1;s;    5;s;    1;s;    1;s;    2;s;  831;s;  781;s;   49;s;    1;s;    2;s;    4;s;    5;s;    1;s;    1;s;    2;s
7120;8440;08;B;  10;090101; 4;s;14;  802;s;  895;s;    7;s;    7;s;  790;s;  741;s;   47;s;    2;s;    2;s;    1;s;    4;s;    2;s;    1;s;    3;s;  882;s;  836;s;   44;s;    2;s;    2;s;    1;s;    5;s;    1;s;    1;s;    4;s
7120;8440;08;B;  10;090101; 4;s;15;  918;s;  988;s;    7;s;    7;s;  906;s;  855;s;   49;s;    2;s;    2;s;    1;s;    4;s;    2;s;    2;s;    3;s;  975;s;  928;s;   45;s;    2;s;    2;s;    2;s;    5;s;    0;s;    0;s;    4;s
7120;8440;08;B;  10;090101; 4;s;16;  880;s;  966;s;    9;s;    6;s;  867;s;  818;s;   48;s;    1;s;    1;s;    1;s;    6;s;    2;s;    2;s;    3;s;  955;s;  904;s;   50;s;    1;s;    2;s;    1;s;    3;s;    2;s;    2;s;    3;s
7120;8440;08;B;  10;090101; 4;s;17;  895;s;  982;s;    8;s;    7;s;  882;s;  833;s;   48;s;    1;s;    2;s;    1;s;    5;s;    2;s;    2;s;    3;s;  970;s;  922;s;   47;s;    1;s;    2;s;    1;s;    4;s;    2;s;    2;s;    3;s
7120;8440;08;B;  10;090101; 4;s;18; 1010;s; 1045;s;   10;s;    7;s;  994;s;  941;s;   53;s;    0;s;    4;s;    2;s;    5;s;    3;s;    3;s;    2;s; 1031;s;  977;s;   53;s;    1;s;    2;s;    1;s;    5;s;    1;s;    1;s;    5;s
7120;8440;08;B;  10;090101; 4;s;19; 1042;s;  979;s;   11;s;    7;s; 1027;s;  968;s;   57;s;    2;s;    2;s;    1;s;    6;s;    4;s;    3;s;    2;s;  968;s;  921;s;   47;s;    0;s;    1;s;    2;s;    3;s;    2;s;    2;s;    3;s
7120;8440;08;B;  10;090101; 4;s;20;  972;s;  794;s;   10;s;    9;s;  957;s;  908;s;   49;s;    0;s;    3;s;    1;s;    5;s;    4;s;    3;s;    2;s;  780;s;  740;s;   40;s;    0;s;    2;s;    2;s;    3;s;    4;s;    3;s;    3;s
7120;8440;08;B;  10;090101; 4;s;21;  827;s;  667;s;   11;s;    6;s;  813;s;  767;s;   45;s;    1;s;    1;s;    1;s;    7;s;    3;s;    2;s;    2;s;  658;s;  624;s;   34;s;    0;s;    2;s;    1;s;    3;s;    2;s;    1;s;    1;s
7120;8440;08;B;  10;090101; 4;s;22;  694;s;  524;s;   10;s;    8;s;  680;s;  640;s;   39;s;    1;s;    3;s;    0;s;    7;s;    3;s;    2;s;    1;s;  515;s;  494;s;   21;s;    0;s;    1;s;    0;s;    4;s;    4;s;    3;s;    0;s
7120;8440;08;B;  10;090101; 4;s;23;  546;s;  473;s;   11;s;   22;s;  533;s;  501;s;   31;s;    1;s;    1;s;    0;s;    4;s;    7;s;    7;s;    1;s;  450;s;  425;s;   25;s;    0;s;    0;s;    0;s;   11;s;   11;s;    7;s;    1;s
7120;8440;08;B;  10;090101; 4;s;24;  346;s;  320;s;   12;s;   13;s;  333;s;  312;s;   21;s;    0;s;    1;s;    0;s;    4;s;    8;s;    4;s;    0;s;  307;s;  294;s;   12;s;    1;s;    0;s;    0;s;    5;s;    8;s;    6;s;    0;s
7120;8440;08;B;  10;090102; 5;u;01;  230;s;  248;s;   17;s;   18;s;  213;s;  194;s;   19;s;    0;s;    0;s;    0;s;    7;s;   10;s;    5;s;    0;s;  230;s;  212;s;   18;s;    0;s;    0;s;    0;s;    4;s;   14;s;    8;s;    0;s
7120;8440;08;B;  10;090102; 5;u;02;  155;s;  157;s;   22;s;   17;s;  133;s;  118;s;   15;s;    0;s;    0;s;    0;s;    6;s;   16;s;    8;s;    0;s;  139;s;  129;s;   10;s;    0;s;    0;s;    0;s;    3;s;   14;s;    9;s;    1;s
7120;8440;08;B;  10;090102; 5;u;03;  151;s;  139;s;   29;s;   24;s;  121;s;  100;s;   21;s;    0;s;    1;s;    0;s;   13;s;   16;s;    9;s;    0;s;  115;s;  105;s;   10;s;    0;s;    0;s;    1;s;    8;s;   15;s;    7;s;    0;s
7120;8440;08;B;  10;090102; 5;u;04;  136;s;  150;s;   31;s;   29;s;  104;s;   90;s;   14;s;    0;s;    1;s;    0;s;   14;s;   17;s;    7;s;    0;s;  121;s;  107;s;   14;s;    0;s;    0;s;    0;s;   13;s;   16;s;    8;s;    0;s
7120;8440;08;B;  10;090102; 5;u;05;  350;s;  307;s;   42;s;   51;s;  307;s;  252;s;   55;s;    0;s;    0;s;    0;s;   24;s;   18;s;   10;s;    1;s;  255;s;  217;s;   38;s;    0;s;    1;s;    1;s;   32;s;   18;s;   12;s;    0;s
7120;8440;08;B;  10;090102; 5;u;06; 1288;s;  786;s;   75;s;   72;s; 1208;s; 1121;s;   85;s;    2;s;    2;s;    2;s;   40;s;   33;s;   23;s;    3;s;  711;s;  648;s;   62;s;    1;s;    2;s;    1;s;   40;s;   31;s;   19;s;    1;s
7120;8440;08;B;  10;090102; 5;u;07; 2366;s; 1591;s;   98;s;  107;s; 2242;s; 2064;s;  177;s;    1;s;    4;s;    4;s;   52;s;   42;s;   28;s;   22;s; 1471;s; 1336;s;  133;s;    2;s;    7;s;    4;s;   62;s;   41;s;   30;s;    6;s
7120;8440;08;B;  10;090102; 5;u;08; 2544;s; 1999;s;  101;s;  120;s; 2416;s; 2244;s;  168;s;    4;s;    5;s;    2;s;   61;s;   38;s;   28;s;   22;s; 1860;s; 1703;s;  155;s;    2;s;    5;s;    3;s;   72;s;   45;s;   32;s;   14;s
7120;8440;08;B;  10;090102; 5;u;09; 2067;s; 1674;s;  109;s;  128;s; 1934;s; 1780;s;  153;s;    1;s;    7;s;    2;s;   67;s;   40;s;   28;s;   17;s; 1534;s; 1396;s;  137;s;    1;s;    5;s;    3;s;   70;s;   55;s;   36;s;    7;s
7120;8440;08;B;  10;090102; 5;u;10; 1510;s; 1465;s;   98;s;  118;s; 1398;s; 1258;s;  139;s;    1;s;    8;s;    1;s;   56;s;   41;s;   30;s;    6;s; 1330;s; 1168;s;  162;s;    0;s;    9;s;    2;s;   60;s;   56;s;   39;s;    8;s
7120;8440;08;B;  10;090102; 5;u;11; 1390;s; 1565;s;   98;s;  122;s; 1277;s; 1119;s;  158;s;    0;s;   11;s;    1;s;   56;s;   41;s;   29;s;    4;s; 1428;s; 1244;s;  183;s;    1;s;    8;s;    2;s;   62;s;   58;s;   41;s;    7;s
7120;8440;08;B;  10;090102; 5;u;12; 1601;-; 1680;-;   83;-;   86;-; 1505;-; 1379;-;  123;-;    3;-;    7;-;    2;-;   56;-;   25;-;   20;-;    6;-; 1573;-; 1461;-;  111;-;    1;-;   11;-;    2;-;   55;-;   29;-;   18;-;   10;-
7120;8440;08;B;  10;090102; 5;u;13; 1798;-; 1784;-;   91;-;  100;-; 1698;-; 1594;-;  103;-;    1;-;    5;-;    4;-;   50;-;   37;-;   28;-;    4;-; 1666;-; 1564;-;  100;-;    2;-;   10;-;    2;-;   63;-;   35;-;   26;-;    8;-
7120;8440;08;B;  10;090102; 5;u;14; 1818;-; 1926;-;   85;-;   93;-; 1719;-; 1612;-;  103;-;    4;-;    6;-;    4;-;   42;-;   39;-;   27;-;    8;-; 1817;-; 1700;-;  115;-;    2;-;    8;-;    7;-;   47;-;   39;-;   26;-;    8;-
7120;8440;08;B;  10;090102; 5;u;15; 1966;-; 2062;-;   65;-;   65;-; 1879;-; 1742;-;  136;-;    1;-;    8;-;    5;-;   32;-;   28;-;   22;-;   14;-; 1977;-; 1841;-;  135;-;    1;-;    7;-;    4;-;   31;-;   30;-;   22;-;   13;-
7120;8440;08;B;  10;090102; 5;u;16; 1908;-; 2126;-;   75;-;   80;-; 1815;-; 1701;-;  112;-;    2;-;    8;-;    4;-;   39;-;   32;-;   21;-;   10;-; 2029;-; 1889;-;  138;-;    2;-;    6;-;    6;-;   45;-;   29;-;   19;-;   11;-
7120;8440;08;B;  10;090102; 5;u;17; 1953;-; 2211;-;   77;-;   66;-; 1862;-; 1747;-;  113;-;    2;-;    7;-;   11;-;   35;-;   31;-;   21;-;    7;-; 2126;-; 2007;-;  117;-;    2;-;    6;-;    7;-;   27;-;   32;-;   22;-;   13;-
7120;8440;08;B;  10;090102; 5;u;18; 1825;-; 2040;-;   77;-;   53;-; 1743;-; 1615;-;  126;-;    2;-;    2;-;    9;-;   32;-;   36;-;   22;-;    3;-; 1969;-; 1869;-;   99;-;    1;-;    7;-;    5;-;   23;-;   25;-;   16;-;   11;-
7120;8440;08;B;  10;090102; 5;u;19; 1667;-; 1845;-;   36;-;   31;-; 1621;-; 1532;-;   88;-;    1;-;    4;-;    4;-;   19;-;   13;-;    9;-;    6;-; 1798;-; 1710;-;   87;-;    1;-;    7;-;    3;-;   15;-;   13;-;   10;-;    9;-
7120;8440;08;B;  10;090102; 5;u;20; 1345;-; 1499;-;   29;-;   42;-; 1309;-; 1229;-;   80;-;    0;-;    4;-;    2;-;   12;-;   15;-;   12;-;    3;-; 1452;-; 1374;-;   77;-;    1;-;    2;-;    7;-;    9;-;   26;-;   13;-;    3;-
7120;8440;08;B;  10;090102; 5;u;21; 1045;-; 1130;-;   35;-;   41;-; 1005;-;  945;-;   60;-;    0;-;    2;-;    1;-;   10;-;   24;-;   17;-;    3;-; 1088;-; 1018;-;   70;-;    0;-;    1;-;    2;-;   12;-;   27;-;   16;-;    0;-
7120;8440;08;B;  10;090102; 5;u;22;  737;-;  572;-;   29;-;   26;-;  704;-;  656;-;   48;-;    0;-;    3;-;    5;-;   10;-;   14;-;   11;-;    1;-;  545;-;  525;-;   20;-;    0;-;    0;-;    1;-;    6;-;   19;-;   12;-;    1;-
7120;8440;08;B;  10;090102; 5;u;23;  666;-;  628;-;   22;-;   27;-;  642;-;  613;-;   29;-;    0;-;    2;-;    2;-;   10;-;   10;-;    6;-;    0;-;  600;-;  578;-;   22;-;    0;-;    1;-;    2;-;   11;-;   14;-;    8;-;    0;-
7120;8440;08;B;  10;090102; 5;u;24;  410;-;  535;-;   16;-;   19;-;  393;-;  376;-;   17;-;    0;-;    0;-;    0;-;    6;-;   10;-;    8;-;    1;-;  516;-;  491;-;   24;-;    1;-;    0;-;    1;-;    7;-;   11;-;    8;-;    0;-
7120;8440;08;B;  10;090103; 6;u;01;  311;-;  424;-;   18;-;   17;-;  291;-;  281;-;   10;-;    0;-;    2;-;    0;-;    4;-;   14;-;   12;-;    0;-;  406;-;  392;-;   14;-;    0;-;    0;-;    2;-;    2;-;   13;-;    8;-;    1;-
7120;8440;08;B;  10;090103; 6;u;02;  202;-;  315;-;   22;-;   17;-;  180;-;  168;-;   12;-;    0;-;    0;-;    0;-;   11;-;   11;-;    7;-;    0;-;  298;-;  289;-;    9;-;    0;-;    0;-;    0;-;    2;-;   15;-;   13;-;    0;-
7120;8440;08;B;  10;090103; 6;u;03;  177;-;  249;-;   34;-;   18;-;  143;-;  131;-;   12;-;    0;-;    0;-;    0;-;   17;-;   17;-;   11;-;    0;-;  230;-;  222;-;    8;-;    0;-;    0;-;    1;-;    5;-;   12;-;    9;-;    1;-
7120;8440;08;B;  10;090103; 6;u;04;  123;-;  240;-;   40;-;   14;-;   83;-;   76;-;    7;-;    0;-;    0;-;    1;-;   17;-;   22;-;    8;-;    0;-;  225;-;  219;-;    4;-;    2;-;    0;-;    0;-;    8;-;    6;-;    6;-;    1;-
7120;8440;08;B;  10;090103; 6;u;05;  142;-;  210;-;   33;-;   26;-;  109;-;   86;-;   23;-;    0;-;    0;-;    1;-;   14;-;   18;-;    9;-;    0;-;  184;-;  174;-;   10;-;    0;-;    0;-;    1;-;   16;-;    9;-;    4;-;    0;-
7120;8440;08;B;  10;090103; 6;u;06;  232;-;  228;-;   30;-;   34;-;  202;-;  179;-;   23;-;    0;-;    0;-;    2;-;   19;-;    9;-;    5;-;    0;-;  193;-;  178;-;   15;-;    0;-;    1;-;    2;-;   18;-;   14;-;    8;-;    0;-
7120;8440;08;B;  10;090103; 6;u;07;  273;-;  322;-;   39;-;   33;-;  233;-;  213;-;   20;-;    0;-;    1;-;    4;-;   20;-;   15;-;   12;-;    0;-;  287;-;  256;-;   29;-;    2;-;    2;-;    1;-;   18;-;   14;-;   10;-;    0;-
7120;8440;08;B;  10;090103; 6;u;08;  350;-;  423;-;   31;-;   45;-;  315;-;  286;-;   29;-;    0;-;    3;-;    1;-;   17;-;   13;-;   10;-;    1;-;  375;-;  333;-;   41;-;    1;-;    2;-;    4;-;   23;-;   18;-;   11;-;    1;-
